Temperatura,Coeficiente de Resfriamento,Máximo de Iterações,Execução,Função Objetivo,Tempo (ms)
1000,1.00,50,6,488.01,532.88
1000,1.00,50,7,454.06,531.80
1000,1.00,50,8,450.95,532.07
1000,1.00,50,9,474.10,532.07
1000,1.00,50,10,460.36,532.42
1000,1.00,100,1,462.38,1071.62
1000,1.00,100,2,469.16,1064.03
1000,1.00,100,3,431.17,1064.30
1000,1.00,100,4,443.69,1065.83
1000,1.00,100,5,451.58,1064.55
1000,1.00,100,6,462.50,1066.67
1000,1.00,100,7,458.57,1064.12
1000,1.00,100,8,451.70,1063.39
1000,1.00,100,9,459.58,1064.48
1000,1.00,100,10,452.60,1064.86
10000,0.50,5,1,1313.47,0.10
10000,0.50,5,2,1284.76,0.10
10000,0.50,5,3,1263.26,0.10
10000,0.50,5,4,1303.65,0.10
10000,0.50,5,5,1273.07,0.10
10000,0.50,5,6,1299.52,0.10
10000,0.50,5,7,1225.62,0.10
10000,0.50,5,8,1197.87,0.10
10000,0.50,5,9,1164.73,0.10
10000,0.50,5,10,1313.47,0.10
10000,0.50,10,1,1109.11,0.20
10000,0.50,10,2,1115.08,0.20
10000,0.50,10,3,1154.49,0.20
10000,0.50,10,4,1134.35,0.20
10000,0.50,10,5,1198.35,0.20
10000,0.50,10,6,1304.07,0.20
10000,0.50,10,7,1158.50,0.19
10000,0.50,10,8,1145.64,0.20
10000,0.50,10,9,1052.03,0.20
10000,0.50,10,10,1153.90,0.19
10000,0.50,50,1,841.79,0.96
10000,0.50,50,2,921.58,0.96
10000,0.50,50,3,882.87,0.95
10000,0.50,50,4,915.45,0.96
10000,0.50,50,5,790.64,0.96
10000,0.50,50,6,773.51,0.96
10000,0.50,50,7,830.87,0.96
10000,0.50,50,8,760.69,0.96
10000,0.50,50,9,866.61,0.97
10000,0.50,50,10,839.83,0.96
10000,0.50,100,1,746.92,1.91
10000,0.50,100,2,719.42,1.90
10000,0.50,100,3,743.81,1.90
10000,0.50,100,4,735.19,1.93
10000,0.50,100,5,804.84,1.90
10000,0.50,100,6,769.10,1.91
10000,0.50,100,7,803.92,1.91
10000,0.50,100,8,700.59,1.91
10000,0.50,100,9,767.13,1.92
10000,0.50,100,10,693.92,1.91
10000,0.75,5,1,1049.76,0.24
10000,0.75,5,2,1058.73,0.24
10000,0.75,5,3,1153.92,0.24
10000,0.75,5,4,1122.47,0.24
10000,0.75,5,5,1116.12,0.24
10000,0.75,5,6,978.16,0.24
10000,0.75,5,7,1122.47,0.24
10000,0.75,5,8,1121.15,0.24
10000,0.75,5,9,1085.09,0.25
10000,0.75,5,10,1049.66,0.24
10000,0.75,10,1,887.17,0.48
10000,0.75,10,2,935.31,0.48
10000,0.75,10,3,1025.46,0.48
10000,0.75,10,4,867.26,0.47
10000,0.75,10,5,946.78,0.47
10000,0.75,10,6,960.44,0.47
10000,0.75,10,7,934.04,0.47
10000,0.75,10,8,1014.77,0.47
